Municipality,Cases,Population,Year,code
Ale,0,25292,1998,1440
Alingsås,0,34930,1998,1489
Alvesta,0,19171,1998,764
Aneby,0,6806,1998,604
Arboga,0,14070,1998,1984
Arjeplog,0,3517,1998,2506
Arvidsjaur,0,7401,1998,2505
Arvika,0,26490,1998,1784
Askersund,0,11809,1998,1882
Avesta,0,22897,1998,2084
Bengtsfors,0,11204,1998,1460
Berg,0,8274,1998,2326
Bjurholm,0,2786,1998,2403
Bjuv,0,13756,1998,1260
Boden,0,29195,1998,2582
Bollebygd,0,7912,1998,1443
Bollnäs,0,27295,1998,2183
Borgholm,0,11369,1998,885
Borlänge,0,47838,1998,2081
Borås,0,96106,1998,1490
Botkyrka,0,70949,1998,127
Boxholm,0,5447,1998,560
Bromölla,0,12140,1998,1272
Bräcke,0,7864,1998,2305
Burlöv,0,14549,1998,1231
Båstad,0,14158,1998,1278
Dals-Ed,0,5045,1998,1438
Danderyd,0,29639,1998,162
Degerfors,0,10907,1998,1862
Dorotea,0,3441,1998,2425
Eda,0,8781,1998,1730
Ekerö,2,21367,1998,125
Eksjö,0,17116,1998,686
Emmaboda,0,9971,1998,862
Enköping,2,36121,1998,381
Eskilstuna,1,88027,1998,484
Eslöv,0,28299,1998,1285
Essunga,0,5857,1998,1445
Fagersta,0,12773,1998,1982
Falkenberg,0,39061,1998,1382
Falköping,0,31524,1998,1499
Falun,0,54576,1998,2080
Filipstad,1,12104,1998,1782
Finspång,0,22043,1998,562
Flen,1,16906,1998,482
Forshaga,0,11775,1998,1763
Färgelanda,0,7177,1998,1439
Gagnef,0,10271,1998,2026
Gislaved,0,30366,1998,662
Gnesta,0,9653,1998,461
Gnosjö,0,10355,1998,617
Gotland,0,57643,1998,980
Grums,0,9825,1998,1764
Grästorp,0,5985,1998,1444
Gullspång,0,6119,1998,1447
Gällivare,0,20987,1998,2523
Gävle,7,90105,1998,2180
Göteborg,6,459593,1998,1480
Götene,0,13255,1998,1471
Habo,0,9577,1998,643
Hagfors,0,14562,1998,1783
Hallsberg,0,15951,1998,1861
Hallstahammar,1,15407,1998,1961
Halmstad,0,84538,1998,1380
Hammarö,1,14189,1998,1761
Haninge,3,67764,1998,136
Haparanda,0,10580,1998,2583
Heby,0,13672,1998,331
Hedemora,0,16249,1998,2083
Helsingborg,5,116337,1998,1283
Herrljunga,0,9536,1998,1466
Hjo,0,8928,1998,1497
Hofors,1,10987,1998,2104
Huddinge,3,81339,1998,126
Hudiksvall,0,37753,1998,2184
Hultsfred,0,15656,1998,860
Hylte,0,10559,1998,1315
Håbo,1,17139,1998,305
Hällefors,0,8252,1998,1863
Härjedalen,0,11723,1998,2361
Härnösand,1,26365,1998,2280
Härryda,0,29473,1998,1401
Hässleholm,0,49046,1998,1293
Höganäs,0,22612,1998,1284
Högsby,0,6717,1998,821
Hörby,0,13760,1998,1266
Höör,0,13765,1998,1267
Jokkmokk,0,6305,1998,2510
Järfälla,1,59839,1998,123
Jönköping,1,115897,1998,680
Kalix,1,18408,1998,2514
Kalmar,1,58808,1998,880
Karlsborg,0,7322,1998,1446
Karlshamn,0,30995,1998,1082
Karlskoga,0,32006,1998,1883
Karlskrona,0,60429,1998,1080
Karlstad,3,79664,1998,1780
Katrineholm,1,32724,1998,483
Kil,0,12025,1998,1715
Kinda,0,10247,1998,513
Kiruna,0,25148,1998,2584
Klippan,1,15862,1998,1276
Kramfors,2,22333,1998,2282
Kristianstad,0,73854,1998,1290
Kristinehamn,0,25057,1998,1781
Krokom,0,14279,1998,2309
Kumla,0,18778,1998,1881
Kungsbacka,1,63142,1998,1384
Kungsör,0,8178,1998,1960
Kungälv,0,36615,1998,1482
Kävlinge,1,24143,1998,1261
Köping,0,25219,1998,1983
Laholm,0,22847,1998,1381
Landskrona,0,37254,1998,1282
Laxå,0,6803,1998,1860
Lekeberg,0,7064,1998,1814
Leksand,0,15479,1998,2029
Lerum,0,35064,1998,1441
Lessebo,0,8541,1998,761
Lidingö,1,40373,1998,186
Lidköping,0,36833,1998,1494
Lilla Edet,0,12984,1998,1462
Lindesberg,0,24004,1998,1885
Linköping,2,131948,1998,580
Ljungby,0,27376,1998,781
Ljusdal,0,20167,1998,2161
Ljusnarsberg,0,5859,1998,1864
Lomma,0,17637,1998,1262
Ludvika,0,27129,1998,2085
Luleå,0,71360,1998,2580
Lund,2,97975,1998,1281
Lycksele,0,13386,1998,2481
Lysekil,0,15165,1998,1484
Malmö,4,254904,1998,1280
Malung-Sälen,0,10972,1998,2023
Malå,0,3821,1998,2418
Mariestad,0,24020,1998,1493
Mark,1,33127,1998,1463
Markaryd,0,10039,1998,767
Mellerud,0,10065,1998,1461
Mjölby,0,25587,1998,586
Mora,0,20398,1998,2062
Motala,1,42444,1998,583
Mullsjö,0,7245,1998,642
Munkedal,0,10633,1998,1430
Munkfors,0,4344,1998,1762
Mölndal,0,55224,1998,1481
Mönsterås,0,13371,1998,861
Mörbylånga,0,13568,1998,840
Nacka,5,73029,1998,182
Nora,0,10510,1998,1884
Norberg,0,6182,1998,1962
Nordanstig,0,10748,1998,2132
Nordmaling,0,7873,1998,2401
Norrköping,1,122415,1998,581
Norrtälje,0,51552,1998,188
Norsjö,0,4850,1998,2417
Nybro,0,20126,1998,881
Nyköping,0,49000,1998,480
Nynäshamn,0,23341,1998,192
Nässjö,0,29799,1998,682
Ockelbo,0,6256,1998,2101
Olofström,0,14505,1998,1060
Orsa,0,7150,1998,2034
Orust,0,15133,1998,1421
Osby,0,13100,1998,1273
Oskarshamn,0,26769,1998,882
Ovanåker,0,12801,1998,2121
Oxelösund,0,11188,1998,481
Pajala,0,7779,1998,2521
Partille,1,32709,1998,1402
Perstorp,0,6921,1998,1275
Piteå,0,40458,1998,2581
Ragunda,0,6540,1998,2303
Robertsfors,0,7439,1998,2409
Ronneby,0,28909,1998,1081
Rättvik,0,11044,1998,2031
Sala,0,21748,1998,1981
Salem,0,13176,1998,128
Sandviken,1,37905,1998,2181
Sigtuna,0,34295,1998,191
Simrishamn,0,19697,1998,1291
Sjöbo,0,16606,1998,1265
Skara,0,18492,1998,1495
Skellefteå,0,73499,1998,2482
Skinnskatteberg,0,4953,1998,1904
Skurup,0,13560,1998,1264
Skövde,1,49437,1998,1496
Smedjebacken,0,12135,1998,2061
Sollefteå,0,22854,1998,2283
Sollentuna,0,57067,1998,163
Solna,0,55806,1998,184
Sorsele,0,3281,1998,2422
Sotenäs,0,9625,1998,1427
Staffanstorp,0,19291,1998,1230
Stenungsund,0,20001,1998,1415
Stockholm,11,736113,1998,180
Storfors,1,4872,1998,1760
Storuman,0,7177,1998,2421
Strängnäs,1,29161,1998,486
Strömstad,0,10917,1998,1486
Strömsund,0,14575,1998,2313
Sundbyberg,0,32868,1998,183
Sundsvall,2,93923,1998,2281
Sunne,0,13665,1998,1766
Surahammar,1,10679,1998,1907
Svalöv,0,12707,1998,1214
Svedala,0,17971,1998,1263
Svenljunga,0,10818,1998,1465
Säffle,0,16992,1998,1785
Säter,0,11352,1998,2082
Sävsjö,0,11461,1998,684
Söderhamn,0,28209,1998,2182
Söderköping,0,13879,1998,582
Södertälje,1,75836,1998,181
Sölvesborg,0,16576,1998,1083
Tanum,0,12111,1998,1435
Tibro,0,10781,1998,1472
Tidaholm,0,12874,1998,1498
Tierp,0,19883,1998,360
Timrå,0,18254,1998,2262
Tingsryd,0,13692,1998,763
Tjörn,0,14709,1998,1419
Tomelilla,0,12453,1998,1270
Torsby,0,14142,1998,1737
Torsås,0,7611,1998,834
Tranemo,0,12124,1998,1452
Tranås,0,17866,1998,687
Trelleborg,0,38146,1998,1287
Trollhättan,0,52795,1998,1488
Trosa,0,10068,1998,488
Tyresö,2,38046,1998,138
Täby,2,60274,1998,160
Töreboda,0,9828,1998,1473
Uddevalla,1,48969,1998,1485
Ulricehamn,0,22344,1998,1491
Umeå,5,103517,1998,2480
Upplands-Bro,0,20495,1998,139
Upplands Väsby,0,36789,1998,114
Uppsala,3,187302,1998,380
Uppvidinge,0,9992,1998,760
Vadstena,0,7703,1998,584
Vaggeryd,0,12524,1998,665
Valdemarsvik,1,8538,1998,563
Vallentuna,0,24246,1998,115
Vansbro,1,7476,1998,2021
Vara,1,16339,1998,1470
Varberg,3,52392,1998,1383
Vaxholm,0,8721,1998,187
Vellinge,0,30023,1998,1233
Vetlanda,1,27064,1998,685
Vilhelmina,0,8125,1998,2462
Vimmerby,0,15779,1998,884
Vindeln,1,6245,1998,2404
Vingåker,0,9542,1998,428
Vårgårda,0,10705,1998,1442
Vänersborg,1,36486,1998,1487
Vännäs,0,8574,1998,2460
Värmdö,0,29396,1998,120
Värnamo,0,31983,1998,683
Västervik,1,38359,1998,883
Västerås,3,124780,1998,1980
Växjö,4,73698,1998,780
Ydre,0,4178,1998,512
Ystad,0,26058,1998,1286
Åmål,0,13041,1998,1492
Ånge,0,11497,1998,2260
Åre,0,9838,1998,2321
Årjäng,0,9826,1998,1765
Åsele,0,3789,1998,2463
Åstorp,0,12908,1998,1277
Åtvidaberg,0,12215,1998,561
Älmhult,0,15569,1998,765
Älvdalen,0,7932,1998,2039
Älvkarleby,0,9047,1998,319
Älvsbyn,0,9101,1998,2560
Ängelholm,0,36921,1998,1292
Öckerö,1,11692,1998,1407
Ödeshög,0,5767,1998,509
Örebro,2,122641,1998,1880
Örkelljunga,0,9499,1998,1257
Örnsköldsvik,0,56658,1998,2284
Östersund,1,58673,1998,2380
Österåker,0,33396,1998,117
Östhammar,0,21921,1998,382
Östra Göinge,0,14514,1998,1256
Överkalix,0,4366,1998,2513
Övertorneå,0,5868,1998,2518
Ale,0,25329,1999,1440
Alingsås,0,34963,1999,1489
Alvesta,0,19035,1999,764
Aneby,0,6799,1999,604
Arboga,0,14036,1999,1984
Arjeplog,0,3455,1999,2506
Arvidsjaur,0,7233,1999,2505
Arvika,0,26353,1999,1784
Askersund,0,11621,1999,1882
Avesta,0,22714,1999,2084
Bengtsfors,0,11032,1999,1460
Berg,0,8272,1999,2326
Bjurholm,0,2746,1999,2403
Bjuv,0,13702,1999,1260
Boden,0,28872,1999,2582
Bollebygd,0,7894,1999,1443
Bollnäs,0,27075,1999,2183
Borgholm,0,11319,1999,885
Borlänge,1,47441,1999,2081
Borås,2,96342,1999,1490
Botkyrka,2,72153,1999,127
Boxholm,0,5411,1999,560
Bromölla,0,12115,1999,1272
Bräcke,0,7744,1999,2305
Burlöv,1,14683,1999,1231
Båstad,0,14189,1999,1278
Dals-Ed,0,4974,1999,1438
Danderyd,1,29636,1999,162
Degerfors,0,10746,1999,1862
Dorotea,0,3364,1999,2425
Eda,0,8689,1999,1730
Ekerö,5,21943,1999,125
Eksjö,0,16910,1999,686
Emmaboda,0,9811,1999,862
Enköping,2,36195,1999,381
Eskilstuna,3,88138,1999,484
Eslöv,0,28212,1999,1285
Essunga,0,5847,1999,1445
Fagersta,0,12583,1999,1982
Falkenberg,0,38894,1999,1382
Falköping,0,31331,1999,1499
Falun,0,54489,1999,2080
Filipstad,0,11893,1999,1782
Finspång,0,21678,1999,562
Flen,0,16726,1999,482
Forshaga,0,11651,1999,1763
Färgelanda,2,7086,1999,1439
Gagnef,0,10168,1999,2026
Gislaved,0,30408,1999,662
Gnesta,0,9743,1999,461
Gnosjö,0,10266,1999,617
Gotland,2,57428,1999,980
Grums,0,9673,1999,1764
Grästorp,0,5970,1999,1444
Gullspång,0,5974,1999,1447
Gällivare,1,20504,1999,2523
Gävle,3,90451,1999,2180
Göteborg,12,462470,1999,1480
Götene,0,13095,1999,1471
Habo,0,9587,1999,643
Hagfors,0,14400,1999,1783
